tf_code,tf_name,sf_code,sf_name,distance_km
2z4m63,فست فود ۱+۵,0re889,فست فود 1+5,0.010016
2z4mng,باغ رستوران آوا,qyrqnd,باغ رستوران آوا,0.208113246
2z4wp9,کافه پدرخوب,94en9k,کافه رستوران پدر خوب (آزادی),0.037234102
2z8k42,غذای اقتصادی شام با ما,0rxqkv,فست فود شام با ما,0.008334881
2zk38o,هایپر میوه آذربایجان ,gnkyqn,میوه حاجی ارزونی آذربایجان,0.041544539
2zkmm1,نان سنگک کلبه(آزادپز),r5njwo,نانوایی سنگک سلیمانی (آزادپز),0.290212949
2zknn1,کبابسرای آذربایجان,pvr2y1,کباب سرای آذربایجان,0.020331306
2zkr4w,غذای قریشی,12lnky,رستوران قریشی,0.012011548
2zkry3,سنگکی فکوریان (قاسمی),37ygjx,سنگک قاسمی (آزادپز),0.04921013
2zkwgm,Bellavita,l2g9nz,نان و شیرینی بلاویتا,0.009627143
2zlm48,نان بربری توحیدلو,p4mker,مجتمع نان توحید لو,0.020774474
2zlygw,گوشت و مرغ پارسه,855nr2,پروتئین پارسه,0.094490164
2zpgk2,کترینگ خواجوئی نژاد (شعبه تاچارا),0j9ylr,دیگچه خواجوئی (تاچارا),0.0081777
51k1x6,نانوایی تافتون چهارباغ,e55852,نانوایی تافتونی چهار باغ,0.008580334
51k6g7,نانوایی خراسانی رضوان,xdny8w,نان خراسانی رضوان,0.004590994
51n4g2,پروتئین یاس,0n94q6,پروتئین یاس,0.100314197
51o337,نانوایی فردوس هوشمند,p47yry,سنگک فردوس هوشمند (آزادپز),0.014697658
51o377,آبمیوه بستنی حامدخان,l2g44k,آبمیوه حامد خان,0.003583172
51o4xl,سوپر میوه ارم,dq7n5d,میوه سرای ارم,0.057696129
51o6zk,فود بار ۱۹,jy2w86,فودبار 19,0.00647178
51o7g1,کترینگ ترنج,6dgmw6,کترینگ ترنج,0.007674954
51o8kw,نانوایی سنگک بهشت شاطری,l2dryz,نان سنگک سنتی شاطری,0.001807424
51o9xw,کبابی صوفی,44jxmx,چلوکبابی صوفی,0.064498826
51ol3x,"سرزمین مزه ها ( سوخاری، پیتزا، برگر) ",r5q849,فست فود سرزمین مزه ها (قلهک),0.039320167
51owo6,کافه باریانا,dqvj1x,کافی رستوران باریانا,0.05982235
51ox1z,نانوایی سنگکی جوانمرد,0yll4d,نانوایی سنگکی جوانمرد (آزادپز),0.341851017
51rxz2,مرغ و پروتئینی زاگرس,0w62y5,مرغ ممتاز(بلوار زاگرس),0.059785613
51y9k6,کافی شاپ اقای قهوه,9496qq,آقای قهوه,0.00419494
51yogx,انرژی مثبت,09rqm6,آبمیوه انرژی پلاس,0.008289199
51yr8k,فلافل بیروتی ایستگاه شکم,me1req,فست فود فلافل بیروتی,0.099250042
5318g8,رستوران مددی,p5xynx,چلو کبابی مددی,0.014566814
531931,مجتمع نان با برکت,31q48k,نان با برکت (آزادپز),0.017811619
531l1l,فست فود الدورق,0yx7ng,پیتزا الدورق,0.005131092
531lx3,کافی شاپ ریس مون,5oq5rj,کافه ریسمون,0.028742725
531n17,نان سنتی گلبرگ ,jyjl9r,نانوایی سنگک سنتی گلبرگ,0.099659126
531nwo,میوه فروشی انصارالمهدی ,y191ey,سوپر میوه انصارالمهدی (جمالی),0.013701771
531pmy,میوه سرای یاس ,vxe67x,میوه فروشی یاس,0.147244302
531w37,کبابی حبیب تهرونی,44zvrr,کبابی حبیب تهرونی,0.066391457
531x34,کافه کسری,12m2e4,قهوه کسری (شریعتی),0.029943203
5338xm,فست فود هایدا (پارک ملت),qyr8yy,فست فود هایدا (جردن),0.007482719
533gx1,نان تافتون نمونه وحدت اسلامی,dqe117,نانوایی تافتون وحدت اسلامی,0.035125541
