WKT,name
"POLYGON ((51.271819 35.754288, 51.268391 35.746016, 51.26993 35.740636, 51.2806739 35.7318042, 51.2883736 35.7204676, 51.291265 35.716231, 51.298441 35.716536, 51.309038 35.717014, 51.313049 35.716732, 51.335953 35.712262, 51.3331236 35.740233, 51.314565 35.735851, 51.312194 35.734592, 51.313207 35.737601, 51.3141935 35.7387973, 51.313635 35.73968, 51.3142887 35.7465299, 51.2956828 35.7467802, 51.294946 35.748673, 51.2949177 35.750969, 51.295061 35.753265, 51.274678 35.753909, 51.271819 35.754288))",فردوس - کاشانی - شهر زیبا
"POLYGON ((51.264567 35.76645, 51.262829 35.769458, 51.2469801 35.7695963, 51.240148 35.763194, 51.239933 35.762045, 51.236243 35.763055, 51.202039 35.765179, 51.18779 35.762949, 51.196706 35.757372, 51.196996 35.7568, 51.196459 35.755916, 51.196754 35.754323, 51.19264 35.750139, 51.193171 35.748236, 51.189298 35.747866, 51.190713 35.7457264, 51.194571 35.739267, 51.194469 35.737486, 51.1883966 35.7199802, 51.2136099 35.7149253, 51.226851 35.7129421, 51.2330832 35.7114431, 51.2375214 35.7105267, 51.252762 35.707672, 51.252362 35.714449, 51.291265 35.716231, 51.2806739 35.7318042, 51.26993 35.740636, 51.268391 35.746016, 51.271819 35.754288, 51.267967 35.756586, 51.26887 35.758446, 51.268096 35.758892, 51.266991 35.760861, 51.266991 35.762132, 51.26638 35.763812, 51.265221 35.765203, 51.264567 35.76645))",دریاچه- شهرک گلستان - دهکده المپیک
"POLYGON ((51.46561 35.7568386, 51.465229 35.7514526, 51.463896 35.7464246, 51.46225 35.7432546, 51.460506 35.7408016, 51.466699 35.7403416, 51.4656121 35.7385356, 51.4630662 35.7353014, 51.461322 35.7332916, 51.4626667 35.732178, 51.463226 35.7317096, 51.464306 35.730802, 51.464471 35.7307476, 51.476787 35.7197586, 51.477216 35.7217606, 51.482734 35.7210796, 51.482539 35.7179586, 51.485156 35.7179066, 51.485129 35.7129746, 51.502133 35.7182306, 51.501303 35.7194276, 51.503288 35.7218496, 51.50375 35.7227536, 51.505499 35.7246366, 51.507323 35.7262456, 51.508293 35.7267716, 51.510304 35.7267626, 51.512455 35.7271706, 51.513584 35.7278316, 51.5161177 35.7308457, 51.525519 35.7440316, 51.521785 35.7446216, 51.521364 35.7445036, 51.523991 35.7482276, 51.524495 35.7498186, 51.524071 35.7515946, 51.524106 35.7530676, 51.519353 35.7536486, 51.516345 35.7546726, 51.512665 35.7565376, 51.513879 35.7597166, 51.513577 35.7626026, 51.5101747 35.7592852, 51.4976863 35.7587629, 51.4938574 35.759054, 51.4892495 35.75865, 51.486586 35.7588046, 51.484736 35.7587236, 51.481522 35.7592666, 51.477227 35.7587926, 51.47291 35.7571416, 51.469304 35.7567376, 51.46561 35.7568386))",نارمک - مجیدیه
"POLYGON ((51.513479 35.763317, 51.513879 35.759721, 51.512665 35.756542, 51.516134 35.754749, 51.519353 35.753653, 51.524106 35.753072, 51.524071 35.751599, 51.524495 35.749823, 51.523991 35.748232, 51.5225326 35.7461436, 51.521364 35.744508, 51.521785 35.744626, 51.525519 35.744036, 51.5161177 35.7308501, 51.513584 35.727836, 51.512455 35.727175, 51.510304 35.726767, 51.508293 35.726776, 51.507323 35.72625, 51.505499 35.724641, 51.50375 35.722758, 51.503288 35.721854, 51.501303 35.719432, 51.502133 35.718235, 51.5051122 35.7117128, 51.508605 35.71549, 51.513159 35.720191, 51.515986 35.721551, 51.5218654 35.7221441, 51.525878 35.718643, 51.551155 35.720211, 51.56948 35.720455, 51.578578 35.720629, 51.581797 35.721744, 51.584114 35.723556, 51.586569 35.723568, 51.58851 35.726217, 51.595897 35.73209, 51.601385 35.735909, 51.60456 35.739956, 51.605871 35.743811, 51.59386 35.748051, 51.587717 35.748205, 51.579398 35.751798, 51.576741 35.754397, 51.574203 35.758089, 51.569653 35.761892, 51.5673594 35.7598921, 51.5655001 35.7584228, 51.5584627 35.7620395, 51.5539934 35.7637074, 51.5533316 35.7624897, 51.5485929 35.7624908, 51.5396078 35.7661112, 51.5374491 35.7682836, 51.5346711 35.7701449, 51.533658 35.767072, 51.53189 35.765962, 51.5292638 35.7665932, 51.5265862 35.7669143, 51.5191821 35.7627253, 51.5160556 35.7624799, 51.5143754 35.7663011, 51.5134543 35.7665079, 51.513147 35.765625, 51.513479 35.763317))",تهرانپارس-حکیمیه
"POLYGON ((51.4491122 35.7211977, 51.4479628 35.7194353, 51.4455335 35.7139606, 51.439482 35.715456, 51.435738 35.709353, 51.430174 35.701776, 51.438464 35.701861, 51.447465 35.70209, 51.447447 35.701824, 51.447508 35.70169, 51.447745 35.701493, 51.448351 35.701394, 51.448852 35.701724, 51.448934 35.702056, 51.485129 35.712979, 51.485156 35.717911, 51.482539 35.717963, 51.482734 35.721084, 51.477216 35.721765, 51.476787 35.719763, 51.464571 35.730778, 51.464306 35.730802, 51.461322 35.733296, 51.459179 35.730909, 51.459199 35.73045, 51.459004 35.730047, 51.4584937 35.7297778, 51.458274 35.728177, 51.4570251 35.7263882, 51.4549896 35.7245769, 51.452444 35.7230407, 51.4491122 35.7211977))",نظام آباد‎‎
"POLYGON ((51.196706 35.757372, 51.1752588 35.7600253, 51.158855 35.76107, 51.15569 35.761279, 51.142901 35.757727, 51.128052 35.753339, 51.118697 35.753617, 51.116036 35.75299, 51.1156072 35.7484632, 51.1186749 35.7470525, 51.1273334 35.747719, 51.1354931 35.7459811, 51.12893 35.743894, 51.121509 35.742061, 51.117582 35.741874, 51.089595 35.745348, 51.089053 35.743091, 51.124663 35.732065, 51.1286442 35.726175, 51.1334668 35.7220105, 51.141636 35.716243, 51.1659837 35.7079648, 51.1837407 35.7034505, 51.190714 35.727018, 51.194469 35.737486, 51.194571 35.739267, 51.189298 35.747866, 51.193171 35.748236, 51.19264 35.750139, 51.196754 35.754323, 51.196459 35.755916, 51.196996 35.7568, 51.196706 35.757372))",ورداورد - شهرک چیتگر 
"POLYGON ((51.378676 35.694882, 51.382126 35.659677, 51.39272 35.658459, 51.393543 35.659717, 51.407984 35.658158, 51.410648 35.658281, 51.412093 35.658531, 51.430795 35.659738, 51.436415 35.669714, 51.438183 35.674315, 51.430172 35.675753, 51.431814 35.685628, 51.429145 35.6865143, 51.426999 35.686294, 51.421088 35.68537, 51.420795 35.685422, 51.420739 35.685923, 51.41416 35.68582, 51.410148 35.686131, 51.392912 35.688132, 51.392282 35.693284, 51.383758 35.693931, 51.381516 35.694011, 51.378676 35.694882))",بازار - منیریه - گمرک
"POLYGON ((51.3780111 35.7006604, 51.3424221 35.6998744, 51.3414886 35.7002944, 51.3398726 35.7014964, 51.3389586 35.7019264, 51.3377241 35.7019384, 51.3365336 35.7019444, 51.3350686 35.7011194, 51.3343391 35.7000814, 51.3343146 35.6996464, 51.3345796 35.6989024, 51.3356556 35.6978484, 51.3374821 35.6974274, 51.3381336 35.6971324, 51.3397206 35.6954624, 51.3404266 35.6886084, 51.3420036 35.6845854, 51.3419811 35.6808254, 51.3478451 35.6726254, 51.3567686 35.6692334, 51.3682581 35.6670724, 51.3710296 35.6673034, 51.3756256 35.6684694, 51.3810054 35.6707059, 51.3780111 35.7006604))",آزادی - جی - نواب‎
"POLYGON ((51.291265 35.716231, 51.252362 35.714449, 51.252762 35.707672, 51.1883966 35.7199802, 51.1862026 35.7118626, 51.1837407 35.7034505, 51.2329386 35.683558, 51.233717 35.668401, 51.249289 35.6595281, 51.310976 35.632099, 51.3267771 35.6416971, 51.333392 35.643368, 51.329329 35.658774, 51.332645 35.660061, 51.333375 35.667733, 51.322799 35.669541, 51.323092 35.674855, 51.278354 35.67669, 51.26113 35.6787259, 51.270437 35.704339, 51.289942 35.700919, 51.291265 35.716231))",شادآباد-خلیج فارس-تهرانسر
"POLYGON ((51.291265 35.716231, 51.289942 35.700919, 51.3038231 35.6992682, 51.33432 35.699642, 51.334366 35.700077, 51.335074 35.701115, 51.336539 35.70194, 51.337751 35.701934, 51.335953 35.712262, 51.313049 35.716732, 51.3099223 35.7169214, 51.291265 35.716231))",اکباتان-آپادانا
